SKU   |Warehouse|Warehouse cell ID|Sale date  |First arrival date|Operation_cost|Cost of transportation
CW6652|D44      |0962             |30-Oct-2022|14-Apr-2022       |2197.46       |-973.69               
GS1991|A48      |8520             |30-Oct-2022|04-Oct-2022       |5236.66       |0.00                  
PK7318|D44      |5502             |31-Oct-2022|08-Jul-2022       |25498.17      |0.00                  
CG2608|D44      |0453             |04-Nov-2022|13-May-2022       |29107.31      |-429.97               
II5750|B3       |0207             |16-Nov-2022|04-Oct-2022       |24835.19      |-265.62               
JI6214|D5       |8101             |18-Nov-2022|19-Jun-2022       |13717.08      |0.00                  
UP8398|B3       |4998             |26-Nov-2022|15-May-2022       |2979.19       |-284.50               
HA4196|C22      |8056             |29-Nov-2022|15-May-2022       |8891.66       |-894.31               
ZH7194|A32      |8990             |02-Dec-2022|13-May-2022       |22897.15      |0.00                  
NY0202|B14      |4181             |03-Dec-2022|10-Jul-2022       |17513.41      |-1106.42              
LR4399|A48      |1041             |03-Dec-2022|10-Jul-2022       |23222.56      |-224.24               
QI8852|D44      |6958             |05-Dec-2022|01-Oct-2022       |3699.96       |0.00                  
BK9955|A39      |6900             |06-Dec-2022|15-May-2022       |13966.95      |0.00                  
HP1498|D44      |5880             |06-Dec-2022|01-Oct-2022       |1235.18       |0.00                  
FU8048|C22      |7552             |08-Dec-2022|01-Oct-2022       |12665.26      |-790.39               
OT2185|B14      |6363             |09-Dec-2022|07-Dec-2022       |18937.1       |0.00                  
XV7715|A32      |3924             |14-Dec-2022|02-Nov-2022       |9921.56       |-251.20               
TN6765|A39      |9216             |22-Dec-2022|06-Apr-2022       |12122.46      |0.00                  
BM2651|B14      |0823             |24-Dec-2022|19-Sep-2022       |23684.34      |-478.40               
PX9364|D44      |9998             |29-Dec-2022|15-May-2022       |14553.84      |-876.79               
JO8074|A39      |3175             |31-Dec-2022|16-Dec-2022       |6953.61       |0.00                  
FZ0605|A32      |7722             |03-Jan-2023|08-Jul-2022       |4265.98       |-896.06               
TD3922|C22      |8089             |04-Jan-2023|01-Oct-2022       |17966.31      |-446.91               
KD2142|A39      |6476             |09-Jan-2023|06-Apr-2022       |8587.21       |0.00                  
TJ5911|A39      |8996             |10-Jan-2023|16-Dec-2022       |3016.81       |0.00                  
CQ1240|A48      |3710             |10-Jan-2023|25-Dec-2022       |3861.27       |0.00                  
QZ2728|A25      |1652             |13-Jan-2023|14-Apr-2022       |11513.18      |-329.51               
RS9498|A39      |6051             |14-Jan-2023|16-Dec-2022       |28045.37      |0.00                  
ZI5833|D5       |8673             |15-Jan-2023|04-Oct-2022       |17523.48      |-468.63               
TT0770|A48      |8431             |15-Jan-2023|03-Nov-2022       |27173.75      |0.00                  
IS7443|D5       |9989             |17-Jan-2023|21-Jul-2022       |23672.54      |0.00                  
CG0235|A32      |7051             |17-Jan-2023|10-Jan-2023       |28602.8       |0.00                  
NS2281|D44      |2939             |18-Jan-2023|02-Nov-2022       |17015.25      |-277.37               
HQ2882|A48      |0972             |20-Jan-2023|25-Dec-2022       |26436.55      |0.00                  
YR0699|A32      |0414             |21-Jan-2023|15-May-2022       |19957.84      |-440.20               
VL9826|A48      |6133             |24-Jan-2023|08-Jul-2022       |20209.56      |-691.79               
PZ2980|B14      |8685             |24-Jan-2023|03-Nov-2022       |12183.14      |-456.53               
JG8298|D5       |8872             |25-Jan-2023|02-Mar-2022       |18009.94      |-291.09               
LZ9606|D44      |6454             |25-Jan-2023|07-Nov-2022       |13922.81      |-102.80               
AR0676|C22      |2272             |26-Jan-2023|15-May-2022       |28923.34      |-493.25               
ZU5500|D5       |7062             |26-Jan-2023|21-Jul-2022       |8170.04       |0.00                  
EF2880|D44      |5341             |26-Jan-2023|25-Dec-2022       |19531.22      |-566.85               
GE3171|A32      |0827             |28-Jan-2023|04-Jan-2023       |26302.56      |-406.77               
AO4890|A25      |0144             |29-Jan-2023|20-Jun-2022       |6681.91       |-109.45               
HR1939|A48      |0979             |29-Jan-2023|02-Nov-2022       |25846.97      |-628.44               
DV2858|A32      |6830             |29-Jan-2023|10-Jan-2023       |839.71        |0.00                  
EY6037|A32      |1071             |30-Jan-2023|04-Nov-2022       |5236.53       |-458.17               
OH7888|B14      |6580             |30-Jan-2023|10-Jan-2023       |22030.87      |-456.00               
JZ2599|A48      |6311             |30-Jan-2023|10-Jan-2023       |353.83        |-379.67               
JE0224|D5       |3709             |30-Jan-2023|20-Jan-2023       |29892.04      |0.00                  
CB0425|C22      |9134             |01-Feb-2023|12-Mar-2022       |29106.23      |-615.36               
BT5883|A32      |5912             |01-Feb-2023|17-Jan-2023       |18109.48      |0.00                  
FV8991|B3       |3755             |01-Feb-2023|29-Jan-2023       |27429.45      |0.00                  
MB7199|A25      |4123             |02-Feb-2023|02-Mar-2022       |11895.97      |-410.16               
BA7793|D5       |6815             |02-Feb-2023|02-Nov-2022       |2647.34       |-490.08               
EZ2823|B14      |4613             |02-Feb-2023|04-Nov-2022       |24224.79      |0.00                  
SR5151|C22      |9890             |02-Feb-2023|04-Nov-2022       |29147.99      |-426.65               
WG2069|B14      |2368             |02-Feb-2023|04-Nov-2022       |18913.46      |0.00                  
ZH6449|A39      |9113             |02-Feb-2023|07-Nov-2022       |5724.61       |0.00                  
XL5844|A39      |1694             |03-Feb-2023|04-Oct-2022       |6223.82       |-703.43               
CY8919|A39      |7314             |03-Feb-2023|02-Nov-2022       |29009.7       |-474.24               
LQ4709|B14      |8734             |03-Feb-2023|25-Dec-2022       |29055.58      |-814.40               
TX5263|A25      |0078             |03-Feb-2023|31-Jan-2023       |4845.57       |-119.32               
VC3199|B3       |9977             |04-Feb-2023|06-Apr-2022       |23953.77      |-251.59               
HA9943|A39      |1963             |04-Feb-2023|13-May-2022       |23691.53      |-449.91               
OY3107|D44      |5904             |04-Feb-2023|08-Jul-2022       |6851.63       |-399.89               
YF8986|A25      |7378             |04-Feb-2023|04-Jan-2023       |10907.68      |0.00                  
JV6471|D5       |5983             |04-Feb-2023|10-Jan-2023       |18088.56      |-644.24               
VS4874|B14      |9196             |04-Feb-2023|29-Jan-2023       |5343.76       |-245.94               
UD5431|C22      |3395             |04-Feb-2023|31-Jan-2023       |24982.58      |-172.08               
TY3696|A32      |3223             |05-Feb-2023|09-Apr-2022       |19416.13      |-885.82               
ML6115|B14      |8359             |05-Feb-2023|09-Apr-2022       |10353.58      |-494.55               
SW8665|D44      |3121             |05-Feb-2023|13-May-2022       |14455.7       |-301.03               
QD5535|C22      |2233             |05-Feb-2023|15-May-2022       |20880.53      |-823.99               
WS1660|B14      |3166             |05-Feb-2023|04-Oct-2022       |9268.1        |-982.25               
UA6270|A25      |4235             |05-Feb-2023|25-Dec-2022       |4778.11       |-1052.09              
TH1573|A48      |7764             |05-Feb-2023|25-Dec-2022       |7054.47       |0.00                  
SB9302|C22      |2437             |05-Feb-2023|10-Jan-2023       |3473.22       |-1004.03              
RJ5472|D44      |4645             |05-Feb-2023|29-Jan-2023       |3846.98       |-263.69               
PB6181|B14      |0976             |06-Feb-2023|30-Apr-2022       |28749.46      |-1067.11              
FB2500|A48      |7655             |06-Feb-2023|13-May-2022       |17103.64      |-709.03               
WH1492|A32      |8398             |06-Feb-2023|20-Jun-2022       |2018.78       |-526.36               
HX4584|A48      |9297             |06-Feb-2023|01-Oct-2022       |6626.69       |-936.32               
JU0710|B14      |4406             |06-Feb-2023|01-Oct-2022       |23326.69      |-899.08               
TZ2232|B3       |8448             |06-Feb-2023|02-Nov-2022       |27600.68      |-928.53               
IW4960|A25      |2095             |06-Feb-2023|03-Nov-2022       |12765.94      |-752.53               
XL0442|B14      |5391             |06-Feb-2023|04-Nov-2022       |1992.49       |-420.20               
KZ4696|A25      |2215             |06-Feb-2023|04-Nov-2022       |27139.68      |-623.18               
IC5855|A39      |0340             |06-Feb-2023|04-Nov-2022       |901.78        |-819.49               
EP1311|A48      |9600             |06-Feb-2023|25-Dec-2022       |9613.94       |-1233.33              
VL2315|A48      |8076             |06-Feb-2023|04-Jan-2023       |4710.35       |-672.20               
WW3831|B3       |7623             |06-Feb-2023|10-Jan-2023       |1631.5        |-689.46               
OS5125|C22      |2551             |06-Feb-2023|10-Jan-2023       |26695.28      |-716.35               
MJ6542|D44      |4785             |06-Feb-2023|10-Jan-2023       |17970.47      |-438.44               
PO5124|B3       |1849             |06-Feb-2023|10-Jan-2023       |3105.07       |-469.04               
HC2055|C22      |4442             |06-Feb-2023|17-Jan-2023       |28937.04      |-505.51               
GN4443|A25      |3471             |06-Feb-2023|17-Jan-2023       |13920.31      |-420.16               
LV3989|A32      |2933             |06-Feb-2023|17-Jan-2023       |27272.37      |0.00                  
BY2515|D5       |3075             |06-Feb-2023|17-Jan-2023       |24455.83      |-531.91               
NQ5033|B14      |8729             |06-Feb-2023|17-Jan-2023       |16857.2       |-333.85               
MC3345|A32      |9733             |06-Feb-2023|17-Jan-2023       |22961.96      |0.00                  
WF0465|D44      |6040             |06-Feb-2023|17-Jan-2023       |29890.77      |-195.83               
QO2360|C22      |3263             |06-Feb-2023|20-Jan-2023       |16132.38      |-600.41               
DF3451|D44      |7424             |06-Feb-2023|20-Jan-2023       |7352.16       |-841.12               
KO7019|D5       |5304             |06-Feb-2023|29-Jan-2023       |10516.29      |-425.12               
RO3195|C22      |5852             |06-Feb-2023|29-Jan-2023       |9225.63       |-610.29               
YD1425|A39      |0514             |06-Feb-2023|29-Jan-2023       |4925.48       |-488.38               
VR8599|B14      |6946             |06-Feb-2023|29-Jan-2023       |5787.46       |-766.65               
PH6919|D44      |4518             |06-Feb-2023|31-Jan-2023       |24269.74      |-569.47               
HD1539|A48      |7927             |06-Feb-2023|31-Jan-2023       |5206.58       |-492.96               
DC4915|A48      |6564             |06-Feb-2023|31-Jan-2023       |7494.25       |-620.08               
UB1094|A32      |0144             |06-Feb-2023|31-Jan-2023       |22749.78      |-488.49               
UI1622|B14      |0121             |06-Feb-2023|31-Jan-2023       |13164.08      |-294.35               
WL7109|C22      |4202             |06-Feb-2023|31-Jan-2023       |27330.25      |-452.90               
BD7959|A48      |2368             |06-Feb-2023|31-Jan-2023       |16870.78      |-609.43               
QY4578|D5       |5999             |06-Feb-2023|31-Jan-2023       |5113.8        |-894.13               
